LOCAL;ENDERECO;REGIAO;LATITUDE;LONGITUDE
Arena MRV;Rua Cristina Maria de Assis, 202 - Califórnia, Belo Horizonte - MG, CEP 30840-700;Noroeste;-19.9302;-44.0142
Centerminas Expo;Avenida. Pastor Anselmo Silvestre, 1495, 4º andar Bairro União, Belo Horizonte - MG, CEP 31170-678;Nordeste;-19.8837;-43.9216
Expominas;Av. Amazonas, 6200 - Gameleira;Oeste;-19.9227;-43.969
Minas Tenis Clube I;Rua da Bahia, 2244 - Lourdes, Belo Horizonte - MG, CEP 30160-012;Centro-Sul;-19.932971;-43.944365
Minascentro;Av. Augusto de Lima, 785 - Centro;Centro;-19.9191;-43.9406
Mineirinho;Avenida Antônio Abrahão Caram, 1000 Bairro São Luiz Belo Horizonte - MG, CEP 31275-000;Pampulha;-19.862;-43.9725
Mineirão;Av. Antônio Abrahão Caram, 1001 - São José;Pampulha;-19.8659;-43.9711
Palácio das Artes;Avenda Afonso Pena, 1537 Centro Belo Horizonte - MG CEP 30130-004;Centro;-19.928113;-43.932875
Parque Ecológico da Pampulha;Avenida Otacílio Negrão de Lima, 6061 ;Pampulha;-19.852804;-43.994255
Parque das Mangabeiras;Avenida José do Patrocínio Pontes, 580 - Bairro Mangabeiras, Belo Horizonte - MG CEP 30.210-090;Sul;-19.94696;-43.899413
The One;Av. Raja Gabáglia, 1143 - Luxemburgo, Belo Horizonte - MG, 30380-403;Oeste;-19.946399;-43.957252
UFMG;venida Presidente Antônio Carlos, nº 6627, Bairro Pampulha, Belo Horizonte - MG, CEP: 31.270-901;Pampulha;-19.8687796;-43.9634907
